suj,rt,acc,congr,soa,tloc,cloc
1,370.09,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,417.37,1,0,450,1,2
1,716.72,1,1,450,2,2
1,NaN,0,NaN,NaN,2,NaN
1,515.46,1,NaN,NaN,1,NaN
1,367.54,1,1,-150,2,2
1,448.59,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,1,-600,2,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,0,-600,1,2
1,NaN,1,NaN,NaN,NaN,2
1,320.54,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,438.29,1,1,-600,2,2
1,544.17,1,0,450,1,2
1,NaN,0,NaN,NaN,1,NaN
1,397.54,1,1,450,1,1
1,517.14,1,1,150,2,2
1,706.84,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,449.23,1,1,150,1,1
1,382.55,1,1,-600,1,1
1,419.97,1,1,-600,1,1
1,466.17,1,NaN,NaN,1,NaN
1,477.39,1,0,-600,2,1
1,443.56,1,NaN,NaN,1,NaN
1,435.81,1,0,-600,1,2
1,NaN,1,NaN,NaN,NaN,1
1,401.3,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,409.66,1,0,-150,2,1
1,509.2,1,1,450,1,1
1,646.72,1,1,450,1,1
1,464.57,1,0,-600,1,2
1,NaN,0,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,419.9,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,461.88,1,NaN,NaN,2,NaN
1,NaN,0,0,450,1,2
1,438.81,1,0,-600,2,1
1,499.56,1,1,150,2,2
1,525.5,1,0,450,2,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,0,150,2,1
1,433.21,1,1,450,2,2
1,1290,1,0,450,2,1
1,NaN,0,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,0,-150,1,2
1,NaN,0,0,450,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,-600,1,1
1,1068.4,0,NaN,NaN,NaN,NaN
1,NaN,0,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,2
1,428.85,1,0,150,2,1
1,450.27,1,NaN,NaN,1,NaN
1,NaN,0,1,-600,2,2
1,475.71,1,0,150,1,2
1,547.48,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,1,-600,2,2
1,NaN,1,NaN,NaN,NaN,NaN
1,559.6,1,0,-600,1,2
1,NaN,0,NaN,NaN,1,NaN
1,510.04,1,0,-600,2,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,1047.3,1,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,314.28,1,1,-150,1,1
1,NaN,0,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,1
1,450.18,1,1,450,2,2
1,NaN,0,NaN,NaN,2,NaN
1,403.4,1,1,-150,2,2
1,792.97,1,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,2
1,397.58,1,1,-150,1,1
1,457.21,1,1,150,2,2
1,NaN,0,0,150,1,2
1,470.66,1,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,2
1,320.56,1,0,-600,1,2
1,NaN,0,0,-600,2,1
1,NaN,1,NaN,NaN,NaN,1
1,399.69,1,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,1,450,2,2
1,NaN,1,NaN,NaN,NaN,2
1,478.12,1,NaN,NaN,2,NaN
1,NaN,0,0,-600,2,1
1,436.9,1,1,150,2,2
